#1 Driver,Lightning,Fairway Driver,""
Voyager,Wham-O,Fairway Driver,""
VP,Vibram,Putt & Approach,"2, 3, 0, 2"
VRoc,Innova,Mid-Range,"4, 4, 0, 2"
Vulcan,Innova,Distance Driver,"13, 5, -4, 2"
Vulture,Discraft,Fairway Driver,"10, 5, 0, 2"
Wahoo,Innova,Distance Driver,"12, 6, -2, 2"
Walrus,Daredevil,Mid-Range,"4, 5, 0, 3"
War Horse,Westside,Distance Driver,"13, 4, 0, 4"
War Spear,Gateway,Mid-Range,""
Warden,Dynamic Discs,Putt & Approach,"2, 4, 0, 0"
Warlock,Gateway,Putt & Approach,"2, 3, 0, 1"
Warrant,Dynamic Discs,Mid-Range,"5, 5, -2, 0"
Warrior,Gateway,Mid-Range,"5, 4, 0, 3"
Warship,Westside,Mid-Range,"5, 6, 0, 1"
Wasp,Discraft,Mid-Range,"5, 3, 0, 2"
Wave,MVP,Distance Driver,"11, 5, -2, 2"
Wedge,Innova,Putt & Approach,"4, 3, -3, 1"
Wei,YiKun,Distance Driver,"10, 5, -5, 1"
Whale,Innova,Putt & Approach,"2, 3, 0, 1"
Whippet,Innova,Fairway Driver,"6, 3, 1, 5"
Whippet-X,Innova,Fairway Driver,""
White Widow,Fly High Discs,Putt & Approach,""
Whitler,Snap Disc,Putt & Approach,""
Wildcat,Discraft,Distance Driver,"11, 5, -2, 3"
Wildfire,Quest AT,Mid-Range,""
Wing and a Prayer,DKG,Fairway Driver,""
Wings,YiKun,Mid-Range,"3, 3, 0, 2"
Witness,Dynamic Discs,Fairway Driver,"8, 6, -3, 1"
Wizard,Gateway,Putt & Approach,"2, 3, 0, 2"
Wo-Hoo,Las Aves,Fairway Driver,""
Wolf,Innova,Mid-Range,"4, 3, -4, 1"
Wolverine,Daredevil,Fairway Driver,"8, 5, -2, 2"
Wombat,Innova,Mid-Range,"5, 6, -1, 1"
Wombat3,Innova,Mid-Range,"5, 6, -1, 0"
Woodchuck,Daredevil,Putt & Approach,"2, 3, -1, 0"
World,Westside,Distance Driver,"14, 4, 0, 3"
Wraith,Innova,Distance Driver,"11, 5, -1, 3"
Wrath,Axiom,Distance Driver,"9, 4, -1, 2"
X-2,Discraft,Fairway Driver,""
X-Clone,Discraft,Fairway Driver,""
X1,Prodigy Disc,Distance Driver,"13, 3, 0, 5"
X2,Prodigy Disc,Distance Driver,"13, 4, 0, 4"
X3,Prodigy Disc,Distance Driver,"12, 5, -1, 2"
X4,Prodigy Disc,Distance Driver,"13, 5, -2, 2"
X5,Prodigy Disc,Distance Driver,"13, 5, -4, 1"
Xcaliber,Innova,Distance Driver,""
XD,Innova,Putt & Approach,"3, 4, -1, 1"
Xing,Yikun,Putt & Approach,"2, 4, 0, 1"
XL,Discraft,Fairway Driver,"8, 5, -1, 2"
XL-Superdrive,DGA,Fairway Driver,""
Xpress,Discraft,Fairway Driver,"8, 5, -3, 1"
XS,Discraft,Fairway Driver,"8, 5, -2, 3"
Xtra,Discraft,Fairway Driver,""
Xtreme,Discraft,Fairway Driver,"6, 3, 1, 4"
XXX,Latitude 64,Fairway Driver,"7, 3, 0, 4"
Yan,Yikun,Mid-Range,"3, 6, 0, 0"
Yao,YiKun,Mid-Range,"4, 4, 0, 2"
Yeti,Daredevil,Distance Driver,"13, 5, -3, 1"
Yeti Pro Aviar,Innova,Putt & Approach,""
Zephyr,Innova,Mid-Range,"2, 3, 0, 0"
Zeppelin,Discraft,Putt & Approach,""
Zeus (former Kong),Discraft,Fairway Driver,""
Zion,Latitude 64,Fairway Driver,"9, 4, 0, 3"
Zombee,Discraft,Fairway Driver,"6, 5, -1, 1"
Zone,Discraft,Putt & Approach,"4, 3, 0, 3"
